Clue,Answer
A word we hear in a German accent? So it's alleged (7),AVERRED
Cooler that is cold inside (3),ICE
Proposed name I don't change (9),NOMINATED
I'm taken aback by anger? That's an illusion (6),MIRAGE
Sibling ignoring the second disturbance (6),BOTHER
"Lorna's family has least amount of data to contribute (2,4,3)",DO ONES BIT
Sprite seen in hotel foyer (3),ELF
Tie up an awkward flower (7),PETUNIA
"Confused when sailing? (2,3)",AT SEA
Mormon's end beside salt lake (4),TARN
"Begin to understand material one doesn't finish (6,2)",COTTON ON
Initiation that's suitable is in British Museum (7),BAPTISM
Family member doesn't start to let loose (5),UNTIE
"Jump on places for putting veg (6,6)",SPRING GREENS
Province in actual centre of Germany (5),REALM
Withdraw with minor injury (7),SCRATCH
Extra snake almost died (5),ADDED
"Simple dish — not as snob ate in mess (5,2,5)",BEANS ON TOAST
Cock Robin initially waving to Rose (7),ROOSTER
Hold back from the chorus (7),REFRAIN
Extremely desirable drug store (5),DEPOT
Encouraging word for Charlie's predecessor (5),BRAVO
Uncommon sense in a German city (5),ESSEN
"Redesigned forms treated to show economists’ ratio (5,2,5)",TERMS OF TRADE
"Moved fast around resort — more than needed (2,5)",TO SPARE
"Widow’s share some shrew, odd, recalled (5)",DOWER
"Coffee, second of two, unfinished (5)",LATTE
"French king tucked into fowl, English, wonderful lady supplied (7)",HEROINE
Clubs fancy something spicy? (5),CLOVE
"Endlessly, the guard returned bringing sort of beer (7)",DRAUGHT
A missing Citroen car crashed? Wrong (9),INCORRECT
Trade Union at first meet Corporation (3),TUM
"Clandestine people see City sector in trouble (6,7)",SECRET SOCIETY
"Become active in Antibes, tireless (6)",BESTIR
Server missing one essential liquid (5),WATER
"Organised top celestial event in the heavens (5,7)",TOTAL ECLIPSE
"Dish — very dry, provided in port (7)",RISOTTO
"Ascending in medieval society, one worked hard (5)",SLAVE
New farmer oddly quiet (5),FRESH
"Darts, beer, excited Robin? (9)",REDBREAST
"Duke having setter, strangely, in place of PM (7,6)",DOWNING STREET
"Eager to be hugged by wizard, enthralling (6)",ARDENT
Serious attention retreat needed (7),EARNEST
"Lady’s maid, / part of the furniture? (7)",DRESSER
Introduction of competition hurt store (5),CACHE
Municipal head from Irish county? Right (5),MAYOR
"Raven’s cry, primarily croaky and whiny (3)",CAW
"Publication by students with classy, clean content, fantastic achievement (6,4)",MAGNUM OPUS
Youngster swallows large part of tooth (4),PULP
"Where some are playing football, or riding around (8)",GRIDIRON
"Lights finally low, central heating on, kiss and cuddle (6)",SMOOCH
Corpse is gory: look out (4),BODY
A reminder of the late quality of wine (10),GRAVESTONE
Scrub fork clean for a bit of breakfast (9),CORNFLAKE
Refuse hard slog (5),MARCH
Burned remains after emptying secret store (5),STASH
"Loss of earnings shocking to Mexican (6,3)",INCOME TAX
"Two obstacles, very large: it’s for a Russian invasion (10)",BARBAROSSA
Creed not one to criticise harshly (4),SLAM
Dish youngster eats sport being over (6),TUREEN
A chronicler’s first to be replaced — his charges can be stinging (8),APIARIST
"Caught, not many would quarrel at length (4)",FEUD
Router sends digger round Bath (10),DISPATCHER
Be getting on motorway over part of England to make fortune (9),MEGABUCKS
"Smile, darling, although missing a tooth (7)",GRINDER
"To take a rich husband, they say, may be a bloomer (8)",MARIGOLD
"Pay attention: after nip, as it were, I burn (3,4,4,4)",PIN BACK ONE
Worked out divided county has ended up different (6),SUSSED
Lying for the country has caught ambassador finally (9),PROSTRATE
Saying little boy almost in shape for ice cream? (7),LACONIC
See blonde squirming: why is she red in the face? (9),NOSEBLEED
Hotel inside western city a mile and six feet (9),HEXAMETER
"Portrait of animal so original (4,4)",MONA LISA
"Speak badly of drug, taken regularly in tiny amount (7)",TRADUCE
Composer reaching height? Rather unlikely (7),TALLISH
"Palladium, introducing old character, cut back (6)",PRUNED
"A couple of lines crossing everywhere (3,4)",ALL OVER
"Beatle's back in USSR, playing tricks (5)",RUSES
Check a Buddhist at regular intervals (5),AUDIT
One male voice giving nothing away (9),IMPASSIVE
Singular cup-bearer with vacant expression still here? (7),SHEBEEN
Lug in that case of clay (7),EARTHEN
Worker occasionally draws injured people (10),CASUALTIES
"Head, bowled out in past times (4)",ONCE
Obstinate person endlessly holding a hammer (4),MAUL
Break out with Toad's means of locomotion (10),SKATEBOARD
Producer of keys? Not for Ghanaians (7),ASHANTI
"Emperor, short and fat, mostly as a figurehead (7)",TITULAR
"Tool displays more wings for aircrew (6,3)",SCROLL SAW
Treatment of savant by university (5),USAGE
Trifling child (5),MINOR
"Pray with heart not with head, returning thanks (7)",ENTREAT
Begin to deal with notice on deck (7),ADDRESS
In airport goddess replaces old Christian (8),LUTHERAN
Gesture saving ground with a shed (1-4),V-SIGN
Stand for show again? (9),REPRESENT
Stop outside or go (6),RESORT
Son embraced by saint (7),SWITHIN
Letters from schoolmaster never enforcing discipline (5),STERN
Aspic possibly combined with pepper (8),CAPSICUM
"Bear children and be disagreeable (4,5)",TAKE ISSUE
"Conclusion about county, not quite approved (8)",ENDORSED
Busts are terribly hard to grasp (8),ABSTRUSE
"Introduce American drug, ignoring blood group (5,2)",USHER IN
"No fewer than fifty each in a test (not English) (2,5)",AT LEAST
Strong feeling about large person fastening flies? (6),ANGLER
Tea from northbound service area (5),ASSAM
"That is how to move a trailer (2,3)",TO WIT
Closely examine small prison (4),SCAN
Both Stuart and Dionne half-completed artist's workroom (6),STUDIO
Trade show open (4),FAIR
"Jazz pianist favoured by royal relative after award (5,8)",OSCAR PETERSON
Unmarried man excited Chloe in pub (8),BACHELOR
One who stands against the old decaying gates enclosing unit (6),AGEIST
Little Florence entertains blokes in Athletic club dance (8),FLAMENCO
US composer whinges awfully about intro of record (8),GERSHWIN
Recalled article by North European on military general (8),NAPOLEON
Perhaps calf is a beast of burden carrying sack regularly (6),MUSCLE
Everyone outside potty over handsome young man (6),APOLLO
First couple of children in A&E hurt (4),ACHE
"School prize went to son, finally (4)",ETON
Fruit satisfied in fall (7),PLUMMET
Place to set free American skunk (7),POLECAT
Forgers concerned with one article in museum (11),SMITHSONIAN
Letter recently ignored in stamp collecting (3),PHI
"Mass of eggs, but not the first year in bird sanctuary (6)",AVIARY
Comic show needs help over name (8),COMEDIAN
Father rows with son about celebrity’s wicked cruelty (13),DASTARDLINESS
Making accusations about mostly unlawful politician (13),RECRIMINATORY
I’m after gold that’s fake (8),IMPOSTOR
Only partially sanguine about money (6),GUINEA
There’s a point to this law needing reform (3),AWL
Popular — till people will show resentment (11),INDIGNATION
Completely or nearly closed account (7),TOTALLY
Note port light on front of German boat (7),DREDGER
Mischievous child cuts leg off its first unit (6),PASCAL
One sacked after university abandons resistance (7),UNIFIED
Graduate severe about one current leading teacher (9),MAHARISHI
Pack’s expelled a communist (4),TROT
Original clock face has proper gold on it (10),PRIMORDIAL
Organ adds energy for fast movement (5),LUNGE
"Cut wood, framing picture in deal successfully (7)",COPPICE
Most fine chicks could be at risk in this? (8),THINNEST
"Chap, though elderly, plays regularly in several ways (10)",MANIFOLDLY
Inject copper into deformed toenail (9),INOCULATE
"Annoying train, it runs irregularly (8)",IRRITANT
Company scheme limits one crew member (7),COPILOT
What a jerk’s doing never rising before monarch? (7),YANKING
One not allowing large headline (6),BANNER
Small bag for art (5),SKILL
Old were furious when right’s lost (4),AGED
The French dine from feeding trough,MANGER
Moving slowly or like a shot?,SLUGGISH
See and repair device,LOGO
Rock walls enable repression,SWALLOWING
Abandoned airports left one by one?,SELF-PORTRAIT
Miss a festival’s main attraction,MAY QUEEN
Husband loves healthy walk,HOOF IT
Dean carelessly includes Virginia as a US state,NEVADA
Stay young on very good wine,PINOTAGE
Bad American art turned into rough sketch?,ILLUSTRATION
"Ready for more artillery, surround country (6,2,2)",RARING TO GO
Timmy Thompson’s secret fantasy,MYTH
Boss promises to reimburse academic,STUDIOUS
Collided with small vehicle,STRUCK
Report of one throwing in part of game? (6),CHUKKA
"Donkey joins minister in church, provoking big split (8)",CREVASSE
Like part of viewer’s money invested in Madrid team (7),RETINAL
Increased payment announced for fertiliser (7),NITRATE
Voice disapproval of Republican oik (4),BOOR
Militant greenie backing French king after dreadful race row (3-7),ECO-WARRIOR
Protective coat a Parisian youth put back round tongue? (9),UNDERSEAL
Distinguished Muslim reversed interdiction binding Washington (5),NAWAB
Hospital thanks bringer of gifts (5),SANTA
Staying power of English knight Mussolini managed to get imprisoned (9),ENDURANCE
Like Quisling’s characteristics taking in men in Britain or in France (10),TRAITOROUS
Unspecified doctrines revealed in one’s writing (4),ISMS
Diamond thief initially stole entering Arctic vessel (7),ICEBOAT
One with pride in French art inspired by celebrities (7),LIONESS
"Aim to give up action on pitch (4,4)",GOAL KICK
Aristocracy’s grand record (6),GENTRY
Native American’s article read in bed (5),CARIB
Description of virgin territory don turned out (9),UNTRODDEN
English architect and landscape gardener known in Scotland (4),KENT
Replacement of kidney we set up internally (7),RENEWAL
"Like some surgeons in navy, retire unhappily (10)",VETERINARY
How to address Hindu dignitary in the morning in Westminster? (5),SWAMI
Abhorrent former City mob dismissing head of bank (9),EXECRABLE
Hat that’s extremely comfortable crossing northern lake (6),CLOCHE
"Fortification originally recognised in magnum opus, do we hear? (10)",BREASTWORK
"Disturbing, being out of bed doing my job? (9)",UPSETTING
"Detective shed tears after a lot of drink, having dishevelled look (9)",WINDSWEPT
Capricious fellow concealing deserter (7),ERRATIC
Hand-out covering upper-class bachelor’s drink (6),DOUBLE
Live on cape overlooking a palm-tree (5),ARECA
"Cheeky American, for example, grabbing seconds (5)",SASSY
"Part in this way, missing ex at first (4)",SOME
"Threat suggested by one forever taking tea (3,6)",MAD HATTER
"Fun in summer from people in lawsuits being on weed? (6,7)",GARDEN PARTIES
Poor mark in school given by master (5),GAMMA
Arab friend — European gets one for nothing (11),PALESTINIAN
"Hot and cold, turning unwell, with this? (5)",CHILL
"Singing happily in America, Scotsman from another era (11)",CAROLINGIAN
"On power trips, quietly press for expulsion of MPs (6,5)",PRIDES PURGE
Pull vehicle back in a series of races (7),ATTRACT
Irritated expression as pet vanished (7),DOGGONE
"It offers hope to the sick and old, sure to be treated (7)",LOURDES
"What could create current possible disagreement? (9,10)",POTENTIAL DIFFERENCE
Back an attempt (3),AGO
"In operetta, what’s put before jury? Not a hat (6)",TRILBY
"Terror as dresser goes tipping over, bits smashing off (6)",OGRESS
"Steps taken as father’s old, getting billions in benefit (4,5)",PASO DOBLE
Agreeable article for men in tribute (9),COMPLIANT
"Closely follow play, having to put in notice (6)",SHADOW
"Walking a very short distance, short of energy (2,4)",ON FOOT
Scotland’s own Foreign Department (3),AIN
"Done with requirement for Poohsticks (5,5,3,6)",WATER UNDER THE BRIDGE
"Batting with more confidence, one offers chance to cover (7)",INSURER
"Female, commonly odious and critical (7)",FATEFUL
Ridiculous in a suit in the country (7),TUNISIA
"A proportion of customers sat here, troubled by notice (6,5)",MARKET SHARE
"Short provision of beer by bar in America (4,7)",HALF MEASURE
Trim short leggings (5),TIGHT
"Praise silent type, advancing initially into battle (11)",ACCLAMATION
Make altogether disgusting (5),GROSS
"Part of fighter’s gear to lug, before run across high ground (9,4)",CARTRIDGE BELT
"Fielder, inadequate, returning trophies (9)",SHORTSTOP
"Chitty-Chitty Bang-Bang, say, favourite fairytale transport (5,6)",MAGIC CARPET
"In getting up fast, I remedy fault (7)",DEMERIT
Sort of lamp I plugged in picked up as benefit (5),AVAIL
"Prepare vegetables and quickly see to baby (3,3,4)",TOP AND TAIL
Met together for cause: Republican joined (7),RALLIED
"Smooth style of progress through various gears? Nonsense (3,3,7)",GAS AND GAITERS
"Before test, drops coat (9)",RAINPROOF
Construction of poem featuring in Eliot’s first gamble (7),EDIFICE
Greek visionary’s plans then lie in ruins (12),PANHELLENIST
Get back from city in sheer delight (9),RECAPTURE
"Ditch, I hear, with predictable exceptions gets more slippery (5)",ICIER
Runner’s up prizes on high quality race track (11),SILVERSTONE
A loveless return for country girl (7),ANNABEL
"Trace family: Nick may do it (4,5)",DRAW BLOOD
Traditional accompaniments that are cut off (9),TRIMMINGS
Boat that leads the way for others? (7),LIGHTER
Knock over wine for communion (7),RAPPORT
"The latest worry for museum conservator? (5,2,3,3)",STATE OF THE ART
Useless worker endlessly about to finish cell extension (7),DENDRON
"Antelope eats daisies, including one in remote place (6,6)",EASTER ISLAND
"Winning daily is guaranteed, but not car (11)",CHARISMATIC
"You’re caught; could this describe Quidditch? (3,4,2,2)",THE GAME IS UP
Discovered painting in prison: sentence not wasted! (10),PENTIMENTO
We worked with rectors in one cathedral ... (9),WORCESTER
"in another, saw end of prayer cut short with entry of queen (5,4)",NOTRE DAME
"In charge, one party of Africans ringed girl (7)",FIANCEE
Hardy tucks into extremely luscious sweets (7),LOLLIES
"Excluded workers rising in turn to get drinks (4,3)",SHUT OUT
Man I have heard on the radio (5),ROGER
Horrible feeling commonly looms over time (5),ANGST
Crustacean in pub clean when cooked (8),BARNACLE
Reasonable travel cost announced (4),FAIR
British crowd returned device for detonation (4),BOMB
"Obsession, not initially serious, developed (8)",NEUROSIS
Arthurian knight taking his weapon back to lake (8),LANCELOT
Hoofed mammal in Kansas occasionally (3),ASS
Manic Monday for energetic person (6),DYNAMO
Prophet in South Africa fried pastry (6),SAMOSA
Mischievous goddess had some food (3),ATE
"Instruct class producing toy (5,3)",TRAIN SET
Lug instrument and books round room (8),OTOSCOPE
Cash card number son secures (4),PINS
Man will encounter wicked souls here (4),HELL
Rescue dog losing tail (8),RETRIEVE
Robert has been ahead in Olympic event (7),BOBSLED
Cow perhaps having drink at home with insect (8),RUMINANT
"This won't turn in the lock (5,4)",CANAL BOAT
Grounded winger involved in three murders (3),EMU
Force to slam explosively causing wreckage (7),FLOTSAM
"Here in France, head shows hostile attitude (7)",ICINESS
Will roused mates in canvas shelter (9),TESTAMENT
Fish holding short stick in biannual event (8),SOLSTICE
Get any in arrangement with Zulu banker? (7),YANGTZE
Mister Solo shot after a little hesitation? (7),AEROSOL
Entertainer is treat when sozzled (7),ARTISTE
Blade beheaded wild pig (3),OAR
"Do well to dispense with a certain condiment (3,3,7)",CUT THE MUSTARD
"Not happy, getting stick for eucalyptus (7)",BLUEGUM
College window (5),ORIEL
"Without direct involvement, but less than a metre away? (2,4,6)",AT ARMS LENGTH
"Threat from people, one in a suit (6)",MENACE
Awful critic is sort of acid (6),CITRIC
"Quiet exercise at river, say, being something of a fish (4,3)",SOFT ROE
Compound kept by some Westerners (5),ESTER
Instrument played by old Marx (5),HARPO
Trade vehicles (7),TRAFFIC
Lean over a short distance in tournament centre (8),TILTYARD
"Desperate man, eastern European (4)",DANE
"Different people – not her sort, not all of them (6)",OTHERS
"Calm little place, attended by a group of detectives (6)",PLACID
Proverbial drinker outside pub is European (7),FINNISH
Criticise one Conservative creating alarm (5),PANIC
Female bird always returning full of energy (5),REEVE
Northern city quickly attracting any number (7),PRESTON
"Chum is dancing in front of everyone in entertainment venue (5,4)",MUSIC HALL
"Small crown, gold one seen in court (7)",CORONET
We hear horses eat in field (5),GRAZE
Like female not looking very well (5),ASHEN
Stopping almost all night after travel (7),HALTING
Tries to present pieces for university tutor? (6),ESSAYS
Candlestick boy carried around cold Anglican church (6),SCONCE
City offering what’s collected in box for down-and-outs (6),OXFORD
"Protests on the go when food is not available (6,7)",HUNGER MARCHES
"One book is missing from new libraries, they protest (7)",RAILERS
"Fall in part of race, starts to seem exhausted (5)",LAPSE
Groups of stars interfered with colonial’s tent (13),CONSTELLATION
Proper journey down mountain maybe without first sign of snow (6),DECENT
Hard work is followed by whisky and a game (9),HOPSCOTCH
‘Innocent’ Alice being false – no good inside (7),ANGELIC
Grate fragment ending in fire (6),SCRAPE
"My, my!  It’s a horse (3-3)",GEE
Girl in New York who looks after children? (5),NANNY
Suggest work in writing (7),PROPOSE
Chop end off dining chair (5),CARVE
"Potentially characters in Animal Farm, an unlikely sort of story (4,3,4)",COCK AND BULL
Weapons found in farmstead (4),ARMS
Fruit Ray and Bert cultivated across years (8),TAYBERRY
Brave reorganisation of Hire Co (6),HEROIC
"For example, one / sort of anaesthetic (6)",NUMBER
"Good-looking worker, so attached to me (8)",HANDSOME
Little pig and the noise it makes if head's cut? (4),RUNT
Mild-mannered in attack (11),INOFFENSIVE
Be left with large and ultimately unlovely stomach (5),BELLY
Quieter part of distillery (7),STILLER
Athlete runs behind lots of people (5),RACER
Miniature picture — A Sailing Vessel — by old Spanish artist (7),PICASSO
Type of music some kids adore at the outset (3),SKA
Severe reduction in A & E (5),ACUTE
I reveal foreign girl's name (7),VALERIE
Respected lady agreed to stash foreign money (7),DOYENNE
"Hire purchase no longer available for carpet (4,3)",TICK OFF
Test area in former excavation site (7),EXAMINE
"Warlike officer, we hear (7)",MARTIAL
Nobleman upset Liberal? That's funny (5),DROLL
Terribly nice English family member (5),NIECE
Fool turned up in tank top (3),NIT
Organiser of party — lots of people (4),HOST
Take me abroad to capture river mammal (7),MEERKAT
Make circular motion with part of foot (5),WHEEL
Translation of Hardy located around one Arab city (6),RIYADH
"Reveal girth, bolting frenziedly (5,2,5)",BRING TO LIGHT
Join a Parisian welcoming computers etc. (5),UNITE
Insect lands doggedly after turbulence (5-4-4),DADDY-LONG-LEGS
Beethoven symphony in historic exam? (8),PASTORAL
Company is importing meat — antelope (7),CHAMOIS
Daughter torn about island allowing vehicular access (5-2),DRIVE-IN
Doctor holding delicate fabric up still (6),BECALM
Movable chair some used anywhere (5),SEDAN
Applaud actor who overdoes it in South London area (7),CLAPHAM
"Travel about, moving over (4)",ROVE
Remnant of fire found at the end of three months (5),EMBER
"Listless, glad Uni is out (7)",LANGUID
The man that can be heard in church song (3),HIM
"Having written a will protecting husband and son in America (3,6)",THE STATES
"Change designation of item, an error partly reversed (6)",RENAME
"Piano music's silence, with nothing played fast (6)",PRESTO
"Frightfully damp reaction? (4,5)",COLD SWEAT
Odd pieces removed from very new organ (3),EYE
"Edges of travelator, enough to walk on (7)",TRAMPLE
Proudly claim vessel carries spades (5),BOAST
"Work with teeth, clubs and axe (4)",CHEW
A study developed around English calendar item (7),TUESDAY
"Maybe Tom from Warrington, one with a lingering happy expression (8,3)",CHESHIRE CAT
"White LP, almost complete (7)",ALBUMEN
"Firm multiplied by showing work of Dickens (4,5)",HARD TIMES
Ponder extraterrestrial form of sea life (6),MULLET
Prune without its skin makes you go fast! (3),RUN
Safe place to jump (5),VAULT
"Part of meal being cooked perhaps with unusual style, not in the true way? (11)",DISHONESTLY
Part of deck on which 45 may go for a spin (9),TURNTABLE
Attendant almost to tread on person in care (7),STEWARD
To change sides is a fault (6),DEFECT
Seal swimming at end of beach shows restraint for an animal (5),LEASH
Clumsily handle father and wife (3),PAW
"Bracketed father, say, with man having time in charge (11)",PARENTHETIC
Go in with five by two strengthening strip (6),BATTEN
Port city with area for university student residence (4),HALL
Note aunt’s unfortunate disease (7),TETANUS
Quash right boxing ace in a ring (7),ANNULAR
Certainly bachelor interrupts ruse for ladies’ man (7),PLAYBOY
"Famous maestro, not English, getting cue wrong after Lohengrin’s wife is dressing (8,5)",BECHAMEL SAUCE
City with terrible secret about gold (9),WORCESTER
"One living abroad has European vote, very conveniently (5)",EXPAT
Heavy work I have outside printing house (10),OPPRESSIVE
Charge involving one Zulu witch doctor? (6),WIZARD
Confused pie chart and inscription (8),EPIGRAPH
"What may result in prince’s military manoeuvre (6,8)",PINCER MOVEMENT
Large cactus so full of water of Mexican river (7),SAGUARO
"Anaesthetic unit is the best (6,3)",NUMBER ONE
Royal Society’s in misery with lower standards (5),WORSE
Speak at length with old judge (5),ORATE
"Queen trapped by duty? Right, this may give her strength (9)",EXERCISER
Golf provides for a place to swing (7),GALLOWS
Key mineral fat for pastry producing artistic effect (14),FORESHORTENING
Established working name for language (8),ESTONIAN
"Familiarly, wheels stick and make a harsh noise (6)",JAMJAR
Absolute commander-in-chief chasing car holding traitor (10),AUTOCRATIC
"Fine inventions, jets? (5)",FLIES
Like flowers when meeting to study illness with hospital department (9),CONFLUENT
See beer in guilty sense without one getting better (13),CONVALESCENCE
Doctor exposed about operation as one who failed to qualify (7),DROPOUT
Seller of pills made from tips of acacia blossom on tree (7),BEECHAM
Took on suitable editor without visit to see (7),ADOPTED
Smart suppressing singular desire (4),WISH
Failing to cross over desert (6),DEFECT
"Web crawler that predicts where the wealth is going? (5,6)",MONEY SPIDER
Pill introduced by east European is fit to drink down (7),POTABLE
Informer about in Epping restraining local authority (4-7),RATE
Girl trapping judge’s assassin (5),NINJA
"What’s inverted horny porno tester suffering? (8,8)",HYSTERON PROTERON
Managed a month in teetotal wing of church (8),TRANSEPT
Mum’s core sin unfortunately is a love of shopping (11),CONSUMERISM
Bulk large on the outside? (5),BULGE
"Jettison bedcover on top of antique table (5,9)",THROW OVERBOARD
Sandwich spread? (6),EXPORT
Market exploiter using a rand drop to bait Europe (11),ARBITRAGEUR
Stratified lake certainly a warning of something dangerous (7),LAYERED
"British petroleum jelly, not very standard for comparison (8)",BASELINE
Convert home to church in stretch of land for row of houses (7),TERRACE
Certain about Chile’s capital being somewhere in the Andes (5),SUCRE
"Strange being on underground with a railway minister (7,9)",FOREIGN SECRETARY
"Moderate teases toffs endlessly (4,3)",EASE OFF
No tears about disloyalty (7),TREASON
Includes bitter brewed to be very strong (14),INDESTRUCTIBLE
"Rich, fit and not working (4-3)",WELL
A blush digesting record of debt leaving son to the very end bitter (11),ACRIMONIOUS
Section of poem to preserve — Tasso’s no fool (5),CANTO
HM's in a grand construction -- here? (11),SANDRINGHAM
"Dogmatic idea, no point shifting (11)",OPINIONATED
Delay one riding horse (8),STALLION
"Sham opponent’s name a million nasty people sent up (5,3)",STRAW MAN
"Bird’s to raise hatch, reportedly (7)",JACKDAW
Mailer accepting Pound is rather fine (7),SLENDER
Get annoyed with what might appear on waste land (6),NETTLE
Socialists pursuing Conservative split (5),CLEFT
Mike’s stuffing piece of meat to munch with gusto (5),CHOMP
Stock colours (8),STANDARD
Warm and moist — like some marine life? (6),CLAMMY
Evergreen power to fascinate (6),PRIVET
Hydrogen expands in large flexible pipe (8),NARGHILE
Thriving source of water (4),WELL
Deep thought: odd state to beset one (10),RUMINATION
"Shrub, one beyond blight — job to contain it? (8)",TAMARISK
"Peer in organ loft, but not very many times (4)",EARL
"Monkey lives around borders of Kenya, to the west (4)",SAKI
Syrup — huge number of lemmings initially stuck in it (8),MOLASSES
Poet who's evidently been on the rack? (10),LONGFELLOW
"In conversation, bound to be engrossed (4)",RAPT
"Torch, a virtually full beam lit up (8)",FLAMBEAU
Only rotten plays were written by him (6),O
"Passage which crosses river, ending in Idaho (6)",THROAT
"Sweet tune recalled by one in French (5,3)",HONEY BUN
Trinity right within you (5),THREE
Introspection doing little to inspire government leader supporting church body (5-6),NAVEL
A body builder’s out-of-this-world body (8),ASTEROID
"Stop being a comedian? You can't be serious! (4,4,2,5)",DON
Cap of cerulean and gold on a crown (6),CORONA
A silencing word remains (3),ASH
People ecstatic at first about party removing a PM (9),MELBOURNE
"Ever maintaining rise during test, working on a plane, perhaps? (4,7)",TREE SURGERY
"Shiite leader always put on a ring, I see! (9)",AYATOLLAH
Nuclear accident in British base (8),BLOWDOWN
Failing to change sides (6),DEFECT
"After uprising, some mutual appreciation for island republic (5)",PALAU
"Chairman, on agonising march, heads northward (3)",MAO
"Spin bowler’s trick presenting a problem for the author(7,5)",WRITERS BLOCK
Parrot of old lady put with cashew when she is absent (5),MACAW
Adolescent is after food container in workplace eatery (7),CANTEEN
Rupture regularly found in noble gas particle (7),NEUTRON
Delete Times puzzle at the end (5),ERASE
"Southeastern upper-class type to embark on journey (3,3)",SET OFF
Long narrow inlets start to join in Capri and Granada? (6),FJORDS
"State “I do”, securing a husband (5)",IDAHO
This country is in ruin — am I biased? (7),NAMIBIA
"Fate mostly dire, turning desperate (2-2-3)",DO OR DIE
Suffer at home with vicious mutt (5),INCUR
"Ado! Hungry dog barking in all-too-familiar situation (9,3)",GROUNDHOG DAY
Tell on Dracula? (7),RECOUNT
"Capital offences once punished here? (5,2,6)",TOWER OF LONDON
Modern recycling centre (6),RECENT
"Stuff reckless mug in Jeep for extreme sport (6,7)",BUNGEE JUMPING
Come gallantly holding final letter (5),OMEGA
Where setters go for a holiday? (7),KENNELS
Sign depicting old fellows (4),OMEN
Part of leg found by excavation party (7),SHINDIG
Du Maurier book with short revolutionary chapters — ace!(7),REBECCA
Tangle with men he’s upset (6),ENMESH
"Love attempt to follow silver galore (1,4)",A GOGO
Crooked? Sounds like a grass (4),AWRY
Very easy task collecting river junk (5),DROSS
Cartel had demolished place of worship (9),CATHEDRAL
Greek character hiding in handsome garden (5),OMEGA
"A close friend beginning to mistrust NATO, for example (7)",ACRONYM
Noblewoman starts to develop unusual board game (7),DUCHESS
"Alerts posh folk, embracing one quietly (7)",TIPOFFS
Worker returning woman's aerial (7),ANTENNA
"Fe-male superhero? (4,3)",IRON MAN
Sprinted to grab magical device from African country (7),RWANDAN
Tuna swimming with small relations (5),AUNTS
Irish city's sailors producing bottle opener (9),CORKSCREW
Knock out jockey regularly — that's strange! (5),KOOKY
Robot starts to design rocket on its doorstep (5),DROID
Gloomy about group of actors (8),OVERCAST
"Climbed like an armadillo, perhaps? (6)",SCALED
"Triple jumping — go for it! (3,3)",LET RIP
I was in charge of foreign land (4),IRAN
Fashioned himself a European language (7),FLEMISH
"Are nitrates changing brewing equipment? (3,8)",TEA STRAINER
Long-legged creature burning oxygen (8),FLAMINGO
Fancy putting limit on staple food (7),CAPRICE
Detectives imprisoned by lunatic who's barely seen? (6),NUDIST
"After a short time, tout punk rock hairstyle (6)",MOHAWK
Finally clean a pig enclosure that's unpleasant! (5),NASTY
Farm building lacking roof is well ventilated (4),AIRY
Plants in island thus smuggled from the east (8),NARCISSI
"Like a Dane, for example — and not one in Washington (6)",NORDIC
Legendary bird biting head off dangerous reptile (3),ROC
"Fine workforce, one possessed by man like Sir John? (11)",FALSTAFFIAN
"Briefly poke around leg, to find protein (10)",INTERFERON
"Share the Sunday joint, do we hear? (4)",METE
Ragout of game containing a highly seasoned sausage (6),SALAMI
Mature combination of companies adopting western name (5-2),GROWN
Delay after chap encounters strong wind from east (4-3),TIME
"Switching sides, Chinese communist finds Lao Zi’s philosophy (6)",TAOISM
Retired priest following northern river (4),NILE
Grassy area in politician’s part of constituency (10),GREENSWARD
Worried if a host is an obsessive trendy! (11),FASHIONISTA
Anger shown when state's leader is deposed (3),IRE
Current Oxford course taken in six months? That's wonderful! (6),YIPPEE
Lower rent Ray's splashed out up front? (8),AYRSHIRE
Sea nymph entangled in reed (6),NEREID
Dairy product a girl takes in bed (7),RICOTTA
Put friend in the picture in a relaxed way (10),INFORMALLY
"Serving in army club, one left out cementing tool (9,4)",SOLDERING IRON
Tender-sounding Mercian king? (4),OFFA
"Republican in seedy bar visiting cinema, perhaps (5-2)",DRIVE-IN
Scorn fiddle casual worker finally bought (8),CONTEMPT
Insensitively considered the French devious (13),THOUGHTLESSLY
Recipients of letter from Welshwoman cutting business deficit (10),COLOSSIANS
Insect — one flapping lamely at first in farm pen (8),STONEFLY
Effeminate chap writing about class work (7),MILKSOP
Language provoked by a limited rise in Westminster? (7),SWAHILI
"Stick a poster, possibly, in this place (6)",ADHERE
Long  evergreen tree (4),PINE
Acts badly after work at keyboard getting the same parts? (8),TYPECAST
"Produced money, we hear (4)",BRED
Custom from American era (5),USAGE
"Personal target leading to footballer’s error (3,4)",OWN GOAL
Coming in holding that isn’t regularly amusing (12),ENTERTAINING
"TV feature perhaps recalled in tuneful air, eastern (6)",AERIAL
Warn about edges of route in overcrowded area (6),WARREN
"Unexpectedly gave a car next, spending too much (12)",EXTRAVAGANCE
Advance payment showing sincerity (7),EARNEST
"Introduction of secure, healthy, source of gas (5)",SHALE
Guy from Egypt he obliges (4),THEO
Find beer possibly as favour (8),BEFRIEND
