Word,Properties
mend,"fix, repair, restore, correct"
restore,"repair, mend, fix, return"
correct,"fix, repair, mend, accurate"
accurate,"correct, precise, exact, right"
precise,"accurate, exact, specific, correct"
exact,"precise, accurate, specific, correct"
specific,"exact, precise, particular, detail"
detail,"specific, particular, information, fact"
particular,"specific, detail, certain, special"
certain,"sure, definite, particular, specific"
sure,"certain, confident, definite, positive"
confident,"sure, certain, positive, self-assured"
positive,"sure, confident, optimistic, good"
optimistic,"positive, hopeful, confident, good"
hopeful,"optimistic, positive, expectant, good"
expectant,"hopeful, optimistic, waiting, positive"
waiting,"expectant, hopeful, pause, delay"
pause,"wait, stop, delay, break"
stop,"pause, halt, end, cease"
halt,"stop, pause, end, cease"
end,"stop, finish, conclude, terminate"
finish,"end, complete, conclude, terminate"
complete,"finish, end, whole, entire"
conclude,"finish, end, complete, terminate"
terminate,"end, finish, conclude, stop"
cease,"stop, end, halt, terminate"
continue,"proceed, persist, keep, go"
proceed,"continue, go, move, advance"
persist,"continue, endure, persevere, last"
endure,"persist, last, continue, withstand"
last,"endure, persist, continue, final"
final,"last, end, ultimate, conclusion"
ultimate,"final, last, supreme, best"
supreme,"ultimate, highest, best, top"
best,"supreme, ultimate, top, excellent"
top,"best, supreme, highest, peak"
peak,"top, summit, highest, best"
summit,"peak, top, highest, best"
high,"tall, elevated, great, top"
tall,"high, elevated, great, height"
elevated,"high, tall, raised, great"
great,"high, tall, elevated, excellent"
excellent,"great, superb, outstanding, best"
superb,"excellent, great, outstanding, best"
outstanding,"excellent, superb, great, best"
good,"excellent, great, fine, positive"
fine,"good, excellent, great, okay"
okay,"fine, good, acceptable, alright"
acceptable,"okay, fine, good, satisfactory"
satisfactory,"acceptable, okay, fine, good"
adequate,"satisfactory, acceptable, enough, sufficient"
enough,"adequate, sufficient, plenty, full"
sufficient,"enough, adequate, plenty, full"
plenty,"enough, sufficient, abundant, full"
abundant,"plenty, sufficient, ample, full"
ample,"abundant, plenty, sufficient, full"
full,"ample, abundant, plenty, complete"
empty,"vacant, void, hollow, nothing"
vacant,"empty, void, hollow, unoccupied"
void,"empty, vacant, hollow, nothing"
hollow,"empty, vacant, void, concave"
nothing,"empty, void, zero, absence"
zero,"nothing, null, absence, empty"
null,"zero, nothing, void, empty"
absence,"nothing, void, lack, missing"
lack,"absence, shortage, deficiency, need"
shortage,"lack, deficiency, scarcity, need"
deficiency,"shortage, lack, insufficiency, need"
need,"lack, shortage, deficiency, require"
require,"need, demand, necessitate, must"
demand,"require, need, request, insist"
request,"demand, ask, require, petition"
ask,"request, inquire, question, seek"
inquire,"ask, question, seek, investigate"
question,"ask, inquire, query, doubt"
query,"question, inquire, ask, doubt"
doubt,"question, uncertainty, skepticism, disbelief"
uncertainty,"doubt, hesitation, indecision, skepticism"
hesitation,"uncertainty, doubt, pause, delay"
indecision,"hesitation, uncertainty, doubt, pause"
skepticism,"doubt, disbelief, uncertainty, hesitation"
disbelief,"skepticism, doubt, uncertainty, rejection"
rejection,"disbelief, refusal, denial, dismissal"
refusal,"rejection, denial, decline, dismissal"
denial,"refusal, rejection, dismissal, negation"
dismissal,"denial, rejection, refusal, termination"
negation,"denial, refusal, dismissal, contradiction"
contradiction,"negation, denial, opposition, conflict"
opposition,"contradiction, conflict, resistance, disagreement"
conflict,"opposition, disagreement, fight, struggle"
disagreement,"conflict, opposition, dispute, argument"
dispute,"disagreement, argument, conflict, debate"
argument,"dispute, debate, conflict, disagreement"
debate,"argument, dispute, discussion, controversy"
discussion,"debate, conversation, talk, dialogue"
conversation,"discussion, talk, dialogue, chat"
talk,"conversation, discussion, speak, chat"
dialogue,"conversation, talk, discussion, exchange"
chat,"talk, conversation, dialogue, discussion"
exchange,"dialogue, conversation, trade, swap"
trade,"exchange, swap, commerce, business"
swap,"trade, exchange, switch, barter"
switch,"swap, change, exchange, alternate"
alternate,"switch, change, exchange, rotate"
rotate,"alternate, turn, spin, revolve"
turn,"rotate, spin, revolve, change"
spin,"rotate, turn, revolve, whirl"
revolve,"rotate, spin, turn, orbit"
orbit,"revolve, spin, rotate, circle"
circle,"orbit, round, loop, cycle"
round,"circle, loop, cycle, curved"
loop,"circle, round, cycle, repeat"
cycle,"loop, round, circle, repetition"
repetition,"cycle, loop, repeat, recurrence"
repeat,"repetition, cycle, loop, recurrence"
recurrence,"repeat, repetition, cycle, return"
return,"recurrence, repeat, come back, go back"
come back,"return, go back, revisit, reappear"
go back,"return, come back, revisit, reappear"
revisit,"come back, go back, return, reappear"
reappear,"revisit, come back, go back, return"
appear,"show, emerge, become visible, arrive"
show,"appear, display, exhibit, present"
display,"show, exhibit, present, demonstrate"
exhibit,"display, show, present, demonstrate"
present,"show, display, exhibit, introduce"
demonstrate,"show, display, exhibit, prove"
prove,"demonstrate, show, confirm, verify"
confirm,"prove, verify, validate, establish"
verify,"confirm, validate, check, prove"
validate,"verify, confirm, check, prove"
check,"verify, validate, confirm, examine"
examine,"check, inspect, analyze, study"
inspect,"examine, check, scrutinize, review"
scrutinize,"inspect, examine, analyze, review"
review,"scrutinize, inspect, examine, evaluate"
evaluate,"review, assess, judge, analyze"
assess,"evaluate, judge, measure, determine"
judge,"assess, evaluate, decide, court"
decide,"choose, determine, judge, resolve"
choose,"select, pick, decide, option"
select,"choose, pick, decide, option"
pick,"choose, select, decide, option"
option,"choice, select, pick, decide"
choice,"option, select, pick, decide"
decision,"choice, judgment, resolve, decide"
resolve,"decide, solve, settle, determine"
solve,"resolve, fix, answer, problem"
fix,"repair, solve, mend, correct"
repair,"fix, mend, restore, correct"
mend,"fix, repair, restore, correct"
restore,"repair, mend, fix, return"
correct,"fix, repair, mend, accurate"
accurate,"correct, precise, exact, right"
precise,"accurate, exact, specific, correct"
exact,"precise, accurate, specific, correct"
specific,"exact, precise, particular, detail"
detail,"specific, particular, information, fact"
particular,"specific, detail, certain, special"
certain,"sure, definite, particular, specific"
sure,"certain, confident, definite, positive"
confident,"sure, certain, positive, self-assured"
positive,"sure, confident, optimistic, good"
optimistic,"positive, hopeful, confident, good"
hopeful,"optimistic, positive, expectant, good"
expectant,"hopeful, optimistic, waiting, positive"
waiting,"expectant, hopeful, pause, delay"
pause,"wait, stop, delay, break"
stop,"pause, halt, end, cease"
halt,"stop, pause, end, cease"
end,"stop, finish, conclude, terminate"
finish,"end, complete, conclude, terminate"
complete,"finish, end, whole, entire"
conclude,"finish, end, complete, terminate"
terminate,"end, finish, conclude, stop"
cease,"stop, end, halt, terminate"
continue,"proceed, persist, keep, go"
proceed,"continue, go, move, advance"
persist,"continue, endure, persevere, last"
endure,"persist, last, continue, withstand"
last,"endure, persist, continue, final"
final,"last, end, ultimate, conclusion"
ultimate,"final, last, supreme, best"
supreme,"ultimate, highest, best, top"
best,"supreme, ultimate, top, excellent"
top,"best, supreme, highest, peak"
peak,"top, summit, highest, best"
summit,"peak, top, highest, best"
high,"tall, elevated, great, top"
tall,"high, elevated, great, height"
elevated,"high, tall, raised, great"
great,"high, tall, elevated, excellent"
excellent,"great, superb, outstanding, best"
superb,"excellent, great, outstanding, best"
outstanding,"excellent, superb, great, best"
good,"excellent, great, fine, positive"
fine,"good, excellent, great, okay"
okay,"fine, good, acceptable, alright"
acceptable,"okay, fine, good, satisfactory"
satisfactory,"acceptable, okay, fine, good"
adequate,"satisfactory, acceptable, enough, sufficient"
enough,"adequate, sufficient, plenty, full"
sufficient,"enough, adequate, plenty, full"
plenty,"enough, sufficient, abundant, full"
abundant,"plenty, sufficient, ample, full"
ample,"abundant, plenty, sufficient, full"
full,"ample, abundant, plenty, complete"
empty,"vacant, void, hollow, nothing"
vacant,"empty, void, hollow, unoccupied"
void,"empty, vacant, hollow, nothing"
hollow,"empty, vacant, void, concave"
nothing,"empty, void, zero, absence"
zero,"nothing, null, absence, empty"
null,"zero, nothing, void, empty"
absence,"nothing, void, lack, missing"
lack,"absence, shortage, deficiency, need"
shortage,"lack, deficiency, scarcity, need"
deficiency,"shortage, lack, insufficiency, need"
need,"lack, shortage, deficiency, require"
require,"need, demand, necessitate, must"
demand,"require, need, request, insist"
request,"demand, ask, require, petition"
ask,"request, inquire, question, seek"
inquire,"ask, question, seek, investigate"
question,"ask, inquire, query, doubt"
query,"question, inquire, ask, doubt"
doubt,"question, uncertainty, skepticism, disbelief"
uncertainty,"doubt, hesitation, indecision, skepticism"
hesitation,"uncertainty, doubt, pause, delay"
indecision,"hesitation, uncertainty, doubt, pause"
skepticism,"doubt, disbelief, uncertainty, hesitation"
disbelief,"skepticism, doubt, uncertainty, rejection"
rejection,"disbelief, refusal, denial, dismissal"
refusal,"rejection, denial, decline, dismissal"
denial,"refusal, rejection, dismissal, negation"
dismissal,"denial, rejection, refusal, termination"
negation,"denial, refusal, dismissal, contradiction"
contradiction,"negation, denial, opposition, conflict"
opposition,"contradiction, conflict, resistance, disagreement"
conflict,"opposition, disagreement, fight, struggle"
disagreement,"conflict, opposition, dispute, argument"
dispute,"disagreement, argument, conflict, debate"
argument,"dispute, debate, conflict, disagreement"
debate,"argument, dispute, discussion, controversy"
discussion,"debate, conversation, talk, dialogue"
conversation,"discussion, talk, dialogue, chat"
talk,"conversation, discussion, speak, chat"
dialogue,"conversation, talk, discussion, exchange"
chat,"talk, conversation, dialogue, discussion"
exchange,"dialogue, conversation, trade, swap"
trade,"exchange, swap, commerce, business"
swap,"trade, exchange, switch, barter"
switch,"swap, change, exchange, alternate"
alternate,"switch, change, exchange, rotate"
rotate,"alternate, turn, spin, revolve"
turn,"rotate, spin, revolve, change"
spin,"rotate, turn, revolve, whirl"
revolve,"rotate, spin, turn, orbit"
orbit,"revolve, spin, rotate, circle"
circle,"orbit, round, loop, cycle"
round,"circle, loop, cycle, curved"
loop,"circle, round, cycle, repeat"
cycle,"loop, round, circle, repetition"
repetition,"cycle, loop, repeat, recurrence"
repeat,"repetition, cycle, loop, recurrence"
recurrence,"repeat, repetition, cycle, return"
return,"recurrence, repeat, come back, go back"
come back,"return, go back, revisit, reappear"
go back,"return, come back, revisit, reappear"
revisit,"come back, go back, return, reappear"
reappear,"revisit, come back, go back, return"
appear,"show, emerge, become visible, arrive"
show,"appear, display, exhibit, present"
display,"show, exhibit, present, demonstrate"
exhibit,"display, show, present, demonstrate"
present,"show, display, exhibit, introduce"
demonstrate,"show, display, exhibit, prove"
prove,"demonstrate, show, confirm, verify"
confirm,"prove, verify, validate, establish"
verify,"confirm, validate, check, prove"
validate,"verify, confirm, check, prove"
check,"verify, validate, confirm, examine"
examine,"check, inspect, analyze, study"
inspect,"examine, check, scrutinize, review"
scrutinize,"inspect, examine, analyze, review"
review,"scrutinize, inspect, examine, evaluate"
evaluate,"review, assess, judge, analyze"
assess,"evaluate, judge, measure, determine"
judge,"assess, evaluate, decide, court"
decide,"choose, determine, judge, resolve"
choose,"select, pick, decide, option"
select,"choose, pick, decide, option"
pick,"choose, select, decide, option"
option,"choice, select, pick, decide"
choice,"option, select, pick, decide"
decision,"choice, judgment, resolve, decide"
resolve,"decide, solve, settle, determine"
solve,"resolve, fix, answer, problem"
fix,"repair, solve, mend, correct"
repair,"fix, mend, restore, correct"
mend,"fix, repair, restore, correct"
restore,"repair, mend, fix, return"
correct,"fix, repair, mend, accurate"
accurate,"correct, precise, exact, right"
precise,"accurate, exact, specific, correct"
exact,"precise, accurate, specific, correct"
specific,"exact, precise, particular, detail"
detail,"specific, particular, information, fact"
particular,"specific, detail, certain, special"
certain,"sure, definite, particular, specific"
sure,"certain, confident, definite, positive"
confident,"sure, certain, positive, self-assured"
positive,"sure, confident, optimistic, good"
optimistic,"positive, hopeful, confident, good"
hopeful,"optimistic, positive, expectant, good"
expectant,"hopeful, optimistic, waiting, positive"
waiting,"expectant, hopeful, pause, delay"
pause,"wait, stop, delay, break"
stop,"pause, halt, end, cease"
halt,"stop, pause, end, cease"
end,"stop, finish, conclude, terminate"
finish,"end, complete, conclude, terminate"
complete,"finish, end, whole, entire"
conclude,"finish, end, complete, terminate"
terminate,"end, finish, conclude, stop"
cease,"stop, end, halt, terminate"
continue,"proceed, persist, keep, go"
proceed,"continue, go, move, advance"
persist,"continue, endure, persevere, last"
endure,"persist, last, continue, withstand"
last,"endure, persist, continue, final"
final,"last, end, ultimate, conclusion"
ultimate,"final, last, supreme, best"
supreme,"ultimate, highest, best, top"
best,"supreme, ultimate, top, excellent"
top,"best, supreme, highest, peak"
peak,"top, summit, highest, best"
summit,"peak, top, highest, best"
high,"tall, elevated, great, top"
tall,"high, elevated, great, height"
elevated,"high, tall, raised, great"
great,"high, tall, elevated, excellent"
excellent,"great, superb, outstanding, best"
superb,"excellent, great, outstanding, best"
outstanding,"excellent, superb, great, best"
good,"excellent, great, fine, positive"
fine,"good, excellent, great, okay"
okay,"fine, good, acceptable, alright"
acceptable,"okay, fine, good, satisfactory"
satisfactory,"acceptable, okay, fine, good"
adequate,"satisfactory, acceptable, enough, sufficient"
enough,"adequate, sufficient, plenty, full"
sufficient,"enough, adequate, plenty, full"
plenty,"enough, sufficient, abundant, full"
abundant,"plenty, sufficient, ample, full"
ample,"abundant, plenty, sufficient, full"
full,"ample, abundant, plenty, complete"
empty,"vacant, void, hollow, nothing"
vacant,"empty, void, hollow, unoccupied"
void,"empty, vacant, hollow, nothing"
hollow,"empty, vacant, void, concave"
nothing,"empty, void, zero, absence"
zero,"nothing, null, absence, empty"
null,"zero, nothing, void, empty"
absence,"nothing, void, lack, missing"
lack,"absence, shortage, deficiency, need"
shortage,"lack, deficiency, scarcity, need"
deficiency,"shortage, lack, insufficiency, need"
need,"lack, shortage, deficiency, require"
require,"need, demand, necessitate, must"
demand,"require, need, request, insist"
request,"demand, ask, require, petition"
ask,"request, inquire, question, seek"
inquire,"ask, question, seek, investigate"
question,"ask, inquire, query, doubt"
query,"question, inquire, ask, doubt"
doubt,"question, uncertainty, skepticism, disbelief"
uncertainty,"doubt, hesitation, indecision, skepticism"
hesitation,"uncertainty, doubt, pause, delay"
indecision,"hesitation, uncertainty, doubt, pause"
skepticism,"doubt, disbelief, uncertainty, hesitation"
disbelief,"skepticism, doubt, uncertainty, rejection"
rejection,"disbelief, refusal, denial, dismissal"
refusal,"rejection, denial, decline, dismissal"
denial,"refusal, rejection, dismissal, negation"
dismissal,"denial, rejection, refusal, termination"
negation,"denial, refusal, dismissal, contradiction"
contradiction,"negation, denial, opposition, conflict"
opposition,"contradiction, conflict, resistance, disagreement"
conflict,"opposition, disagreement, fight, struggle"
disagreement,"conflict, opposition, dispute, argument"
dispute,"disagreement, argument, conflict, debate"
argument,"dispute, debate, conflict, disagreement"
debate,"argument, dispute, discussion, controversy"
discussion,"debate, conversation, talk, dialogue"
conversation,"discussion, talk, dialogue, chat"
talk,"conversation, discussion, speak, chat"
dialogue,"conversation, talk, discussion, exchange"
chat,"talk, conversation, dialogue, discussion"
exchange,"dialogue, conversation, trade, swap"
trade,"exchange, swap, commerce, business"
swap,"trade, exchange, switch, barter"
switch,"swap, change, exchange, alternate"
alternate,"switch, change, exchange, rotate"
rotate,"alternate, turn, spin, revolve"
turn,"rotate, spin, revolve, change"
spin,"rotate, turn, revolve, whirl"
revolve,"rotate, spin, turn, orbit"
orbit,"revolve, spin, rotate, circle"
circle,"orbit, round, loop, cycle"
round,"circle, loop, cycle, curved"
loop,"circle, round, cycle, repeat"
cycle,"loop, round, circle, repetition"
repetition,"cycle, loop, repeat, recurrence"
repeat,"repetition, cycle, loop, recurrence"
recurrence,"repeat, repetition, cycle, return"
return,"recurrence, repeat, come back, go back"
come back,"return, go back, revisit, reappear"
go back,"return, come back, revisit, reappear"
revisit,"come back, go back, return, reappear"
reappear,"revisit, come back, go back, return"
appear,"show, emerge, become visible, arrive"
show,"appear, display, exhibit, present"
display,"show, exhibit, present, demonstrate"
exhibit,"display, show, present, demonstrate"
present,"show, display, exhibit, introduce"
demonstrate,"show, display, exhibit, prove"
prove,"demonstrate, show, confirm, verify"
confirm,"prove, verify, validate, establish"
verify,"confirm, validate, check, prove"
validate,"verify, confirm, check, prove"
check,"verify, validate, confirm, examine"
examine,"check, inspect, analyze, study"
inspect,"examine, check, scrutinize, review"
scrutinize,"inspect, examine, analyze, review"
review,"scrutinize, inspect, examine, evaluate"
evaluate,"review, assess, judge, analyze"
assess,"evaluate, judge, measure, determine"
judge,"assess, evaluate, decide, court"
decide,"choose, determine, judge, resolve"
choose,"select, pick, decide, option"
select,"choose, pick, decide, option"
pick,"choose, select, decide, option"
option,"choice, select, pick, decide"
choice,"option, select, pick, decide"
decision,"choice, judgment, resolve, decide"
resolve,"decide, solve, settle, determine"
solve,"resolve, fix, answer, problem"
fix,"repair, solve, mend, correct"
repair,"fix, mend, restore, correct"
mend,"fix, repair, restore, correct"
restore,"repair, mend, fix, return"
correct,"fix, repair, mend, accurate"
accurate,"correct, precise, exact, right"
precise,"accurate, exact, specific, correct"
exact,"precise, accurate, specific, correct"
specific,"exact, precise, particular, detail"
detail,"specific, particular, information, fact"
particular,"specific, detail, certain, special"
certain,"sure, definite, particular, specific"
sure,"certain, confident, definite, positive"
confident,"sure, certain, positive, self-assured"
positive,"sure, confident, optimistic, good"
optimistic,"positive, hopeful, confident, good"
hopeful,"optimistic, positive, expectant, good"
expectant,"hopeful, optimistic, waiting, positive"
waiting,"expectant, hopeful, pause, delay"
pause,"wait, stop, delay, break"
stop,"pause, halt, end, cease"
halt,"stop, pause, end, cease"
end,"stop, finish, conclude, terminate"
finish,"end, complete, conclude, terminate"
complete,"finish, end, whole, entire"
conclude,"finish, end, complete, terminate"
terminate,"end, finish, conclude, stop"
cease,"stop, end, halt, terminate"
continue,"proceed, persist, keep, go"
proceed,"continue, go, move, advance"
persist,"continue, endure, persevere, last"
endure,"persist, last, continue, withstand"
last,"endure, persist, continue, final"
final,"last, end, ultimate, conclusion"
ultimate,"final, last, supreme, best"
supreme,"ultimate, highest, best, top"
best,"supreme, ultimate, top, excellent"
top,"best, supreme, highest, peak"
peak,"top, summit, highest, best"
summit,"peak, top, highest, best"
high,"tall, elevated, great, top"
tall,"high, elevated, great, height"
elevated,"high, tall, raised, great"
great,"high, tall, elevated, excellent"
excellent,"great, superb, outstanding, best"
superb,"excellent, great, outstanding, best"
outstanding,"excellent, superb, great, best"
good,"excellent, great, fine, positive"
fine,"good, excellent, great, okay"
okay,"fine, good, acceptable, alright"
acceptable,"okay, fine, good, satisfactory"
satisfactory,"acceptable, okay, fine, good"
adequate,"satisfactory, acceptable, enough, sufficient"
enough,"adequate, sufficient, plenty, full"
sufficient,"enough, adequate, plenty, full"
plenty,"enough, sufficient, abundant, full"
abundant,"plenty, sufficient, ample, full"
ample,"abundant, plenty, sufficient, full"
full,"ample, abundant, plenty, complete"
